Time;PeopleCount;WindowSize;CellsInMeter;MeanSpeed;Density;Flow
6.000000;1;5;2.500000;1.145353;0.001294;0.000000
16.000000;31;5;2.500000;1.296517;0.040114;0.000000
26.000000;63;5;2.500000;1.298900;0.081522;0.000000
36.000000;94;5;2.500000;1.324014;0.121636;0.058333
46.000000;126;5;2.500000;1.326039;0.163043;0.258333
56.000000;150;5;2.500000;1.316340;0.194099;0.258333
66.000000;179;5;2.500000;1.321154;0.231625;0.233333
76.000000;208;5;2.500000;1.326052;0.269151;0.291667
86.000014;237;5;2.500000;1.329329;0.306677;0.300000
96.000219;270;5;2.500000;1.329123;0.349379;0.358326
106.000354;301;5;2.500000;1.326147;0.389493;0.399995
116.001481;331;5;2.500000;1.324912;0.428313;0.474947
126.004666;362;5;2.500000;1.323625;0.468427;0.541494
136.005080;393;5;2.500000;1.319148;0.508540;0.441648
146.005303;423;5;2.500000;1.319877;0.547360;0.583320
156.005614;455;5;2.500000;1.319176;0.588768;0.783309
166.005864;485;5;2.500000;1.323968;0.627588;0.591652
176.006253;517;5;2.500000;1.324513;0.668996;0.574978
186.007475;546;5;2.500000;1.317883;0.706522;0.849896
196.007794;575;5;2.500000;1.318386;0.744048;0.591648
206.007818;609;5;2.500000;1.320203;0.788043;0.899998
216.008049;636;5;2.500000;1.315834;0.822981;0.833314
226.008961;662;5;2.500000;1.315131;0.856625;0.949913
236.009217;693;5;2.500000;1.314529;0.896739;1.016641
246.009903;720;5;2.500000;1.316559;0.931677;0.808278
256.010089;752;5;2.500000;1.313132;0.973085;0.916650
266.010114;778;5;2.500000;1.309209;1.006729;0.924998
276.010172;809;5;2.500000;1.313734;1.046843;1.199993
286.010308;836;5;2.500000;1.307871;1.081781;1.091652
296.010768;867;5;2.500000;1.307898;1.121894;1.083283
306.011393;897;5;2.500000;1.307085;1.160714;1.233256
316.011422;927;5;2.500000;1.300651;1.199534;1.116663
326.011701;959;5;2.500000;1.299394;1.240942;1.183300
336.012459;990;5;2.500000;1.301049;1.281056;1.191576
346.012854;1021;5;2.500000;1.298729;1.321170;1.249951
356.013171;1045;5;2.500000;1.296373;1.352226;1.491619
366.013450;1078;5;2.500000;1.288003;1.394928;1.316630
376.014547;1108;5;2.500000;1.297168;1.433747;1.266528
386.014692;1138;5;2.500000;1.283194;1.472567;1.274982
396.014955;1169;5;2.500000;1.286934;1.512681;1.491627
406.015619;1197;5;2.500000;1.280731;1.548913;1.658223
416.015657;1227;5;2.500000;1.280113;1.587733;1.574994
426.016041;1256;5;2.500000;1.277581;1.625259;1.349948
436.016357;1284;5;2.500000;1.270771;1.661491;1.608282
446.016583;1309;5;2.500000;1.262705;1.693841;1.474967
456.017058;1337;5;2.500000;1.259828;1.730072;1.508262
466.017077;1363;5;2.500000;1.261132;1.763716;1.724997
476.017102;1396;5;2.500000;1.259436;1.806418;1.766662
486.017122;1423;5;2.500000;1.258160;1.841356;1.658330
496.017434;1451;5;2.500000;1.249706;1.877588;1.833276
506.017897;1479;5;2.500000;1.250804;1.913820;1.741586
516.018461;1509;5;2.500000;1.239052;1.952640;1.666573
526.018482;1536;5;2.500000;1.235009;1.987578;1.608330
536.018519;1564;5;2.500000;1.229460;2.023810;1.783327
546.019253;1593;5;2.500000;1.228593;2.061335;1.983188
556.019459;1627;5;2.500000;1.225106;2.105331;1.966626
566.019594;1655;5;2.500000;1.209114;2.141563;1.833309
576.019735;1680;5;2.500000;1.206230;2.173913;1.816641
586.019790;1711;5;2.500000;1.207027;2.214027;1.933323
596.019833;1740;5;2.500000;1.206107;2.251553;1.908325
606.019922;1770;5;2.500000;1.195296;2.290373;2.066648
616.020219;1800;5;2.500000;1.194075;2.329193;2.033273
